user id,Age,Urbain,"Casual, Urbancool, Streetwear, Kawaii","Chic, Smart, Working Girl","Rock, Gothique","Engagée, Made in France",Fatale,"Bohême, Romantique",Vintage,Inconnu,access_brand,mass_brand,premium_brand,hdg_brand,prestige_brand,luxe_brand,bio_brand,access_mode,mass_market,premium_mode,hdg_mode,prestige_mode,luxe_mode,vintage_mode,eco_responsable_mode,like_price,dislike_price,like_Naturel,dislike_Naturel,like_Synthetique,dislike_Synthetique,like_Ecolabel,dislike_Ecolabel,like_vif,dislike_vif,like_neutre,dislike_neutre,cluster
20,49.0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,3,0,0,0,0,0,1295.9166666666667,553.7083333333334,0.25,0.16666666666666666,0,0,0.16666666666666666,0.08333333333333333,0.2916666666666667,0.0,0.0,0.125,1
21,27.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1638.2083333333333,211.41666666666666,0.3333333333333333,0.08333333333333333,0,0,0.20833333333333334,0.041666666666666664,0.20833333333333334,0.08333333333333333,0.125,0.0,1
71,36.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1192.7083333333333,656.9166666666666,0.2916666666666667,0.125,0,0,0.125,0.125,0.125,0.16666666666666666,0.08333333333333333,0.041666666666666664,1
126,25.0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,2,0,1,0,0,0,0,0,1541.5416666666667,308.0833333333333,0.3333333333333333,0.08333333333333333,0,0,0.125,0.125,0.16666666666666666,0.125,0.08333333333333333,0.041666666666666664,1
149,23.0,1,4,3,2,0,1,1,1,0,0,2,0,0,3,3,1,0,2,0,6,1,0,0,0,902.6666666666666,946.9583333333334,0.16666666666666666,0.25,0,0,0.20833333333333334,0.041666666666666664,0.125,0.16666666666666666,0.041666666666666664,0.08333333333333333,1
228,34.0,0,2,0,1,0,1,2,0,0,0,3,1,0,0,0,0,2,3,1,0,0,0,0,0,1849.625,0.0,0.4166666666666667,0.0,0,0,0.25,0.0,0.2916666666666667,0.0,0.125,0.0,1
233,26.0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,1,0,0,0,1276.5416666666667,573.0833333333334,0.2916666666666667,0.125,0,0,0.20833333333333334,0.041666666666666664,0.20833333333333334,0.08333333333333333,0.125,0.0,1
356,24.0,1,0,3,2,0,0,0,1,0,0,2,0,0,0,2,0,1,1,0,0,0,1,0,0,1185.0,664.625,0.20833333333333334,0.20833333333333334,0,0,0.08333333333333333,0.16666666666666666,0.20833333333333334,0.08333333333333333,0.041666666666666664,0.08333333333333333,1
403,20.0,0,3,2,0,0,1,0,0,0,0,4,2,2,0,3,0,7,16,5,1,0,2,0,0,1528.125,321.5,0.4166666666666667,0.0,0,0,0.16666666666666666,0.08333333333333333,0.20833333333333334,0.08333333333333333,0.08333333333333333,0.041666666666666664,1
406,23.0,0,4,3,2,2,1,2,1,0,1,11,11,11,18,22,35,13,44,98,67,37,27,6,9,1820.875,28.75,0.4166666666666667,0.0,0,0,0.25,0.0,0.25,0.041666666666666664,0.125,0.0,2
626,55.0,0,3,2,1,2,1,2,0,0,1,7,3,2,15,11,3,7,19,11,11,8,12,2,0,1849.625,0.0,0.4166666666666667,0.0,0,0,0.25,0.0,0.2916666666666667,0.0,0.125,0.0,1
802,34.0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,1,5,7,1,0,0,0,0,1293.0833333333333,556.5416666666666,0.20833333333333334,0.20833333333333334,0,0,0.125,0.125,0.20833333333333334,0.08333333333333333,0.0,0.125,1
843,26.0,1,2,3,0,2,1,2,1,0,0,6,1,0,4,0,1,8,22,20,3,6,9,0,0,1797.5416666666667,52.083333333333336,0.4166666666666667,0.0,0,0,0.20833333333333334,0.041666666666666664,0.2916666666666667,0.0,0.08333333333333333,0.041666666666666664,1
866,25.0,1,1,0,2,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1372.0,477.625,0.2916666666666667,0.125,0,0,0.16666666666666666,0.08333333333333333,0.25,0.041666666666666664,0.041666666666666664,0.08333333333333333,1
