user id,Age,Urbain,"Casual, Urbancool, Streetwear, Kawaii","Chic, Smart, Working Girl","Rock, Gothique","Engagée, Made in France",Fatale,"Bohême, Romantique",Vintage,Inconnu,access_brand,mass_brand,premium_brand,hdg_brand,prestige_brand,luxe_brand,bio_brand,access_mode,mass_market,premium_mode,hdg_mode,prestige_mode,luxe_mode,vintage_mode,eco_responsable_mode,like_price,dislike_price,like_Naturel,dislike_Naturel,like_Synthetique,dislike_Synthetique,like_Ecolabel,dislike_Ecolabel,like_vif,dislike_vif,like_neutre,dislike_neutre,cluster
10,24.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9660.714285714286,31275.0,0.42857142857142855,0.5714285714285714,0.0,0.0,0,0,0.14285714285714285,0.10714285714285714,0.21428571428571427,0.5,1
12,25.0,0,2,1,0,0,0,1,0,0,0,2,1,0,1,2,0,4,7,4,1,1,2,0,0,12407.317073170732,15721.951219512195,0.36585365853658536,0.34146341463414637,0.024390243902439025,0.07317073170731707,0,0,0.17073170731707318,0.1951219512195122,0.3170731707317073,0.2926829268292683,1
13,24.0,0,3,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.23076923076923,376.9230769230769,0.0,0.07692307692307693,0.07692307692307693,0.23076923076923078,0,0,0.0,0.6153846153846154,0.15384615384615385,0.23076923076923078,1
14,24.0,0,1,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453.84615384615387,92.3076923076923,0.07692307692307693,0.0,0.07692307692307693,0.23076923076923078,0,0,0.38461538461538464,0.23076923076923078,0.3076923076923077,0.07692307692307693,1
15,24.0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,2,0,0,1,1,3,0,1,0,0,107.6923076923077,438.46153846153845,0.0,0.07692307692307693,0.0,0.3076923076923077,0,0,0.07692307692307693,0.5384615384615384,0.07692307692307693,0.3076923076923077,1
16,24.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.0,150.0,0.0,0.0,0.25,0.5,0,0,0.25,0.25,0.25,0.25,1
18,24.0,0,0,1,0,2,0,1,1,0,0,0,2,1,0,3,13,0,0,9,5,11,14,0,0,19012.5,8307.5,0.475,0.225,0.0,0.1,0,0,0.15,0.225,0.4,0.2,4
20,49.0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,3,0,0,0,0,0,10260.975609756097,17868.29268292683,0.34146341463414637,0.36585365853658536,0.024390243902439025,0.07317073170731707,0,0,0.1951219512195122,0.17073170731707318,0.24390243902439024,0.36585365853658536,1
21,27.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,24903.571428571428,16032.142857142857,0.5357142857142857,0.4642857142857143,0.0,0.0,0,0,0.17857142857142858,0.07142857142857142,0.35714285714285715,0.35714285714285715,1
22,49.0,1,1,0,0,0,0,1,0,0,0,3,1,3,9,3,1,1,0,1,0,0,0,0,0,24029.268292682926,4100.0,0.5853658536585366,0.12195121951219512,0.04878048780487805,0.04878048780487805,0,0,0.24390243902439024,0.12195121951219512,0.5853658536585366,0.024390243902439025,1
