user id,Age,Urbain,"Casual, Urbancool, Streetwear, Kawaii","Chic, Smart, Working Girl","Rock, Gothique","Engagée, Made in France",Fatale,"Bohême, Romantique",Vintage,Inconnu,access_brand,mass_brand,premium_brand,hdg_brand,prestige_brand,luxe_brand,bio_brand,access_mode,mass_market,premium_mode,hdg_mode,prestige_mode,luxe_mode,vintage_mode,eco_responsable_mode,like_price,dislike_price,like_Naturel,dislike_Naturel,like_Synthetique,dislike_Synthetique,like_Ecolabel,dislike_Ecolabel,like_vif,dislike_vif,like_neutre,dislike_neutre,cluster
3,24.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2231.25,906.25,0.0625,0.125,0.625,0.3125,0.0,0.0,0.3125,0.25,0.375,0.0625,4
4,24.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4200.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4
8,24.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2650.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,4
9,24.0,0,1,0,0,0,1,0,0,0,0,6,0,1,6,8,0,2,5,0,1,0,3,0,0,1758.8235294117646,1452.9411764705883,0.17647058823529413,0.0,0.5882352941176471,0.35294117647058826,0.0,0.0,0.35294117647058826,0.23529411764705882,0.29411764705882354,0.11764705882352941,4
10,24.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400.0,4200.0,0.25,0.25,0.125,0.5625,0.25,0.1875,0.0625,0.375,0.25,0.25,4
12,25.0,0,2,1,0,0,0,1,0,0,0,2,1,0,1,2,0,4,7,4,1,1,2,0,0,1572.340425531915,4404.255319148936,0.02127659574468085,0.1702127659574468,0.19148936170212766,0.723404255319149,0.0,0.0,0.0851063829787234,0.40425531914893614,0.1702127659574468,0.425531914893617,4
13,24.0,0,3,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,944.6808510638298,5031.914893617021,0.06382978723404255,0.1276595744680851,0.19148936170212766,0.723404255319149,0.0,0.0,0.0425531914893617,0.44680851063829785,0.19148936170212766,0.40425531914893614,4
14,24.0,0,1,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2831.9148936170213,3144.68085106383,0.1276595744680851,0.06382978723404255,0.48936170212765956,0.425531914893617,0.0,0.0,0.2978723404255319,0.19148936170212766,0.3191489361702128,0.2765957446808511,4
15,24.0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,2,0,0,1,1,3,0,1,0,0,936.1702127659574,5040.425531914893,0.0425531914893617,0.14893617021276595,0.19148936170212766,0.723404255319149,0.0,0.0,0.0851063829787234,0.40425531914893614,0.1276595744680851,0.46808510638297873,4
16,24.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3060.0,690.0,0.0,0.0,0.8,0.2,0.0,0.0,0.4,0.2,0.4,0.0,4
18,24.0,0,0,1,0,2,0,1,1,0,0,0,2,1,0,3,13,0,0,9,5,11,14,0,0,908.5106382978723,5068.085106382979,0.02127659574468085,0.1702127659574468,0.14893617021276595,0.7659574468085106,0.0,0.0,0.10638297872340426,0.3829787234042553,0.06382978723404255,0.5319148936170213,4
19,24.0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2900.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4
20,49.0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,3,0,0,0,0,0,7744.517543859649,27348.01461988304,0.1608187134502924,0.5233918128654971,0.07309941520467836,0.41812865497076024,0.011695906432748537,0.02046783625730994,0.07894736842105263,0.2807017543859649,0.14619883040935672,0.5877192982456141,4
21,27.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,25104.46323529412,19985.639705882353,0.4338235294117647,0.2867647058823529,0.35294117647058826,0.16176470588235295,0.04411764705882353,0.022058823529411766,0.25,0.08823529411764706,0.40441176470588236,0.33088235294117646,4
22,49.0,1,1,0,0,0,0,1,0,0,0,3,1,3,9,3,1,1,0,1,0,0,0,0,0,4705.882352941177,3623.529411764706,0.29411764705882354,0.17647058823529413,0.4117647058823529,0.4117647058823529,0.0,0.0,0.23529411764705882,0.4117647058823529,0.4117647058823529,0.23529411764705882,4
23,24.0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9812.774193548386,8409.564516129032,0.3709677419354839,0.3709677419354839,0.2903225806451613,0.41935483870967744,0.016129032258064516,0.0,0.16129032258064516,0.2903225806451613,0.5161290322580645,0.41935483870967744,4
24,24.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,647.0588235294117,7682.35294117647,0.058823529411764705,0.4117647058823529,0.058823529411764705,0.7647058823529411,0.0,0.0,0.058823529411764705,0.5882352941176471,0.058823529411764705,0.5882352941176471,4
57,24.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2076.470588235294,1135.2941176470588,0.11764705882352941,0.058823529411764705,0.6470588235294118,0.29411764705882354,0.0,0.0,0.35294117647058826,0.23529411764705882,0.29411764705882354,0.11764705882352941,4
58,24.0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,2,0,13,44,98,67,37,27,6,9,15175.578947368422,10671.505263157895,0.4631578947368421,0.3368421052631579,0.2631578947368421,0.22105263157894736,0.0,0.010526315789473684,0.17894736842105263,0.18947368421052632,0.47368421052631576,0.43157894736842106,1
59,18.0,0,3,2,0,0,0,0,0,0,0,1,0,1,2,0,0,0,2,0,0,0,0,0,0,11445.96,17899.8,0.22,0.54,0.1,0.22,0.0,0.0,0.06,0.3,0.24,0.54,4
60,30.0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,4304.523255813953,23950.976744186046,0.18604651162790697,0.6627906976744186,0.11627906976744186,0.32558139534883723,0.0,0.011627906976744186,0.09302325581395349,0.26744186046511625,0.22093023255813954,0.7209302325581395,4
61,21.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900.0,1737.5,0.0,0.0,0.5,0.5,0.0,0.0,0.375,0.375,0.125,0.125,4
62,24.0,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,612.5,3025.0,0.0,0.0,0.25,0.75,0.0,0.0,0.125,0.625,0.125,0.125,4
63,24.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,934.7,11139.85,0.1,0.4,0.2,0.3,0.0,0.0,0.1,0.35,0.25,0.4,4
65,57.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1300.0,2337.5,0.0,0.0,0.375,0.625,0.0,0.0,0.375,0.375,0.0,0.25,4
66,24.0,0,3,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6497.86,22847.9,0.14,0.62,0.06,0.26,0.0,0.0,0.06,0.3,0.16,0.62,4
67,25.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,3,1,1,0,1,0,0,1475.0,2162.5,0.0,0.0,0.375,0.625,0.0,0.0,0.25,0.5,0.125,0.125,4
68,26.0,1,1,1,1,1,1,1,0,0,0,4,4,3,7,2,1,9,18,12,3,5,4,0,0,3902.820895522388,12817.850746268658,0.14925373134328357,0.373134328358209,0.31343283582089554,0.47761194029850745,0.014925373134328358,0.014925373134328358,0.1791044776119403,0.29850746268656714,0.2835820895522388,0.5373134328358209,4
69,42.0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,2100.0,1537.5,0.0,0.0,0.625,0.375,0.0,0.0,0.5,0.25,0.125,0.125,4
70,26.0,0,1,3,0,0,1,0,0,0,0,1,0,0,1,2,0,7,20,9,2,7,6,0,0,3367.818181818182,6627.227272727273,0.36363636363636365,0.18181818181818182,0.36363636363636365,0.13636363636363635,0.0,0.0,0.36363636363636365,0.045454545454545456,0.4090909090909091,0.36363636363636365,4
71,36.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,7949.45045045045,19002.522522522522,0.34234234234234234,0.4864864864864865,0.21621621621621623,0.22522522522522523,0.04504504504504504,0.036036036036036036,0.13513513513513514,0.1891891891891892,0.3783783783783784,0.5495495495495496,4
72,28.0,1,1,1,1,2,1,1,0,0,0,3,1,2,3,2,0,6,22,17,5,5,9,1,0,1300.0,2337.5,0.0,0.0,0.375,0.625,0.0,0.0,0.375,0.375,0.0,0.25,4
73,29.0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,6,12,9,2,0,2,0,0,1112.5,2525.0,0.0,0.0,0.375,0.625,0.0,0.0,0.375,0.375,0.0,0.25,4
